,id,postcode,house_is,property_subtype,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,facades_number,swimming_pool_has,building_state_agg
0,https://www.immoweb.be/en/classified/house/for-sale/tournai/7500/9073897,7500,True,house,123000.0,3,,False,False,False,True,15.0,True,40,,,False,
1,https://www.immoweb.be/en/classified/house/for-sale/wez-velvain/7620/8973818,7620,True,house,199000.0,2,115.0,True,False,False,True,31.0,True,500,,,False,
2,https://www.immoweb.be/en/classified/apartment-block/for-sale/jambes/5100/8989581,5100,True,apartment-block,1000000.0,11,,False,False,False,False,,False,,,,False,
3,https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/9073890,9990,True,house,,2,,False,False,False,False,,False,,,,False,
4,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/9073889,4000,True,house,204500.0,4,150.0,True,False,False,True,40.0,True,32,,,False,
5,https://www.immoweb.be/en/classified/house/for-sale/mons-jemappes/7012/9073874,7012,True,house,55000.0,2,85.0,False,False,False,False,,False,,,,False,
6,https://www.immoweb.be/en/classified/villa/for-sale/kalmthout/2920/9073873,2920,True,villa,1095000.0,5,438.0,True,False,False,True,,True,1535,,,True,
7,https://www.immoweb.be/en/classified/villa/for-sale/kontich/2550/8946075,2550,True,villa,495000.0,4,229.0,True,False,False,True,10.0,True,880,,,False,
8,https://www.immoweb.be/en/classified/house/for-sale/diegem/1831/9073866,1831,True,house,340000.0,3,,True,False,False,False,,True,,,,False,
9,https://www.immoweb.be/en/classified/chalet/for-sale/stekene/9190/9073843,9190,True,chalet,147000.0,2,,False,True,False,False,,False,,,,False,
10,https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/9073862,8800,True,house,225000.0,3,,True,False,False,True,15.0,True,,,,False,
11,https://www.immoweb.be/en/classified/house/for-sale/boussu-hornu/7301/9073857,7301,True,house,75000.0,2,108.0,False,False,False,False,,False,,,,False,
12,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/9073852,1410,True,villa,615000.0,4,221.0,True,False,False,True,,True,,,,False,
13,https://www.immoweb.be/en/classified/house/for-sale/minderhout/2323/9073851,2323,True,house,698000.0,4,298.0,False,False,False,True,100.0,False,,,,False,
14,https://www.immoweb.be/en/classified/house/for-sale/antwerpen-deurne/2100/9073850,2100,True,house,299000.0,2,175.0,False,False,False,True,,False,,,,False,
15,https://www.immoweb.be/en/classified/villa/for-sale/goegnies-chaussee/7040/9073848,7040,True,villa,180000.0,3,,False,False,False,True,,False,,,,False,
16,https://www.immoweb.be/en/classified/house/for-sale/wachtebeke/9185/9073838,9185,True,house,429000.0,3,157.0,True,False,False,False,,True,,,,False,
17,https://www.immoweb.be/en/classified/apartment-block/for-sale/herbeumont/6887/9073840,6887,True,apartment-block,230000.0,6,225.0,False,False,False,False,,False,,,,False,
18,https://www.immoweb.be/en/classified/house/for-sale/de-haan/8420/8996975,8420,True,house,279000.0,4,200.0,True,False,False,True,,True,,,,False,
19,https://www.immoweb.be/en/classified/house/for-sale/wichelen/9260/9073814,9260,True,house,339000.0,4,200.0,False,False,False,False,,False,,,,False,
20,https://www.immoweb.be/en/classified/house/for-sale/landelies/6111/9073812,6111,True,house,255000.0,3,175.0,True,False,False,True,,False,,,,False,
21,https://www.immoweb.be/en/classified/house/for-sale/la-louviere/7100/9073811,7100,True,house,80000.0,3,125.0,True,False,False,False,,True,39,,,False,
22,https://www.immoweb.be/en/classified/villa/for-sale/boussu/7300/9073800,7300,True,villa,260000.0,3,,True,False,False,False,,False,,,,False,
23,https://www.immoweb.be/en/classified/villa/for-sale/woluwe-saint-pierre/1150/8558092,1150,True,villa,2800000.0,6,700.0,False,False,False,True,100.0,True,1500,,,True,
24,https://www.immoweb.be/en/classified/house/for-sale/zwevegem/8550/9073796,8550,True,house,259000.0,3,,True,False,False,True,,True,368,,,False,
25,https://www.immoweb.be/en/classified/house/for-sale/roesbrugge/8972/9073792,8972,True,house,145000.0,7,442.0,True,False,False,True,,True,,,,False,
26,https://www.immoweb.be/en/classified/house/for-sale/florenville/6820/9073788,6820,True,house,325000.0,5,,True,False,False,True,,False,,,,False,
27,https://www.immoweb.be/en/classified/villa/for-sale/kruibeke/9150/9073785,9150,True,villa,610000.0,3,166.0,True,False,False,True,,False,,,,False,
28,https://www.immoweb.be/en/classified/house/for-sale/aalter/9880/9073783,9880,True,house,849000.0,5,240.0,True,False,False,False,,False,,,,False,
29,https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/9073782,9990,True,house,320000.0,3,120.0,True,False,False,False,,False,,,,False,
30,https://www.immoweb.be/en/classified/apartment/for-sale/chaudfontaine/4050/9073896,4050,False,apartment,220000.0,2,87.0,True,False,False,True,16.0,False,,,,False,
31,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8200/9073882,8200,False,apartment,320000.0,2,78.0,True,False,False,True,,False,,,,False,
32,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/9073879,9000,False,apartment,,2,,False,False,False,False,,False,,,,False,
33,https://www.immoweb.be/en/classified/apartment/for-sale/koningsloo/1800/9073877,1800,False,apartment,185000.0,2,80.0,False,False,False,False,,False,,,,False,
34,https://www.immoweb.be/en/classified/apartment/for-sale/koningsloo/1800/9073875,1800,False,apartment,230000.0,2,103.0,False,False,False,False,,False,,,,False,
35,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/9073869,8400,False,apartment,365000.0,3,120.0,True,False,False,True,,False,,,,False,
