,source,postcode,house_is,property_subtype,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,region,building_state_agg,facades_number,price
1891,6,9999,HOUSE,HOUSE,4.0,4.990432586778736,True,False,False,True,3.8501476017100584,True,5.655991810819852,6.194405391104672,False,F,good,3.0,249000.0
1892,6,9999,HOUSE,HOUSE,5.0,5.298317366548036,True,False,False,True,0.0,False,0.0,6.452048954437226,False,W,good,3.0,295000.0
1893,6,2018,HOUSE,HOUSE,7.0,5.808142489980444,True,False,False,True,2.0794415416798357,True,2.8903717578961645,4.68213122712422,False,F,renovated,3.0,575000.0
1894,6,4400,HOUSE,HOUSE,3.0,5.0106352940962555,True,False,False,True,0.0,False,0.0,4.74493212836325,False,W,good,3.0,155000.0
1895,6,9999,HOUSE,HOUSE,5.0,5.278114659230517,True,False,False,True,0.0,False,0.0,5.991464547107982,False,W,to_renovate,3.0,200000.0
1896,6,4500,HOUSE,HOUSE,3.0,5.153291594497779,True,False,False,True,1.6094379124341003,True,6.1092475827643655,6.280395838960195,False,W,good,3.0,210000.0
1897,6,9999,HOUSE,BUNGALOW,2.0,4.454347296253507,True,False,False,True,3.4011973816621555,True,6.818924065275521,6.907755278982137,False,W,good,0.0,219000.0
1898,6,9999,HOUSE,HOUSE,3.0,5.19295685089021,True,False,False,True,0.0,True,5.598421958998375,5.598421958998375,False,W,good,3.0,225000.0
1899,6,1330,HOUSE,TOWN_HOUSE,3.0,4.852030263919617,True,False,False,True,2.8903717578961645,False,0.0,5.241747015059643,False,W,good,3.0,340000.0
1900,6,9999,HOUSE,BUNGALOW,3.0,4.605170185988092,True,False,False,True,0.0,True,7.126087273299125,7.126087273299125,False,W,to_renovate,0.0,349000.0
1901,6,1090,HOUSE,VILLA,5.0,6.456769655572163,True,False,False,True,3.8066624897703196,True,6.040254711277414,6.856461984594587,False,B,good,4.0,2150000.0
1902,6,9999,HOUSE,HOUSE,2.0,4.653960350157523,True,False,False,True,2.302585092994046,True,4.605170185988092,5.318119993844216,False,W,to_renovate,3.0,165000.0
1903,6,3010,HOUSE,HOUSE,3.0,5.19295685089021,True,False,False,True,2.302585092994046,True,5.272999558563747,5.501258210544727,False,F,good,3.0,499000.0
1904,6,1745,HOUSE,BUNGALOW,3.0,5.393627546352362,True,False,False,True,0.0,False,0.0,6.831953565565855,False,F,to_renovate,0.0,425000.0
1905,6,9999,HOUSE,HOUSE,3.0,5.135798437050262,True,False,False,True,0.0,True,6.551080335043404,6.551080335043404,False,W,to_renovate,3.0,149000.0
1906,6,1070,HOUSE,HOUSE,2.0,4.605170185988092,True,False,False,True,3.091042453358316,False,0.0,4.356708826689592,False,B,to_renovate,3.0,219000.0
1907,6,8460,HOUSE,HOUSE,2.0,4.890349128221754,True,False,False,False,0.0,True,4.663439094112067,5.0106352940962555,False,F,good,3.0,259000.0
1908,6,2830,HOUSE,HOUSE,2.0,5.135798437050262,True,False,False,True,2.995732273553991,False,0.0,5.375278407684165,False,F,good,3.0,395000.0
1909,6,4540,HOUSE,HOUSE,2.0,4.700480365792417,True,False,False,True,0.0,False,0.0,6.1070228877422545,False,W,to_renovate,3.0,115000.0
1910,6,9999,HOUSE,BUNGALOW,2.0,4.859812404361672,True,False,False,True,5.135798437050262,False,0.0,7.323170717943469,False,W,renovated,0.0,300000.0
1911,6,6800,HOUSE,HOUSE,2.0,4.804021044733257,True,False,False,True,2.70805020110221,True,4.653960350157523,5.393627546352362,False,W,to_renovate,3.0,185000.0
1912,6,3080,HOUSE,TOWN_HOUSE,4.0,5.783825182329737,True,False,False,True,3.4011973816621555,True,5.91350300563827,6.253828811575473,False,F,good,3.0,725000.0
1913,6,4550,HOUSE,HOUSE,3.0,5.075173815233827,True,False,False,False,0.0,True,6.214608098422191,6.620073206530356,False,W,to_renovate,3.0,189500.0
1914,6,1160,HOUSE,HOUSE,2.0,4.605170185988092,True,False,False,True,2.302585092994046,True,4.0943445622221,4.890349128221754,False,B,good,3.0,339000.0
1915,6,2830,HOUSE,HOUSE,3.0,4.875197323201151,True,False,False,False,0.0,False,0.0,4.787491742782046,False,F,good,3.0,199000.0
1916,6,2520,HOUSE,HOUSE,2.0,4.787491742782046,True,False,False,False,0.0,False,0.0,6.272877006546167,False,F,to_renovate,3.0,238000.0
1917,6,9999,HOUSE,HOUSE,3.0,5.25227342804663,True,False,False,True,0.0,True,7.149131598557407,7.306531398939505,False,W,good,3.0,295000.0
1918,6,9999,HOUSE,HOUSE,5.0,5.44673737166631,True,False,False,True,0.0,False,0.0,8.476371196895983,False,W,good,3.0,380000.0
1919,6,2870,HOUSE,VILLA,4.0,5.214935757608986,True,False,True,True,0.0,False,0.0,7.765569081097317,False,F,good,4.0,459000.0
1920,6,1325,HOUSE,HOUSE,6.0,5.713732805509369,True,False,False,True,3.4011973816621555,True,6.476972362889683,6.697034247666484,False,W,good,3.0,535000.0
1921,6,9999,HOUSE,HOUSE,3.0,5.5254529391317835,True,False,False,True,0.0,False,0.0,6.625392368007956,False,F,good,3.0,595000.0
1922,6,9999,HOUSE,EXCEPTIONAL_PROPERTY,6.0,5.857933154483459,True,False,False,True,0.0,False,0.0,7.029972911706386,False,F,good,4.0,625000.0
1923,6,8300,HOUSE,HOUSE,4.0,5.429345628954441,True,False,False,True,0.0,False,0.0,5.736572297479192,False,F,good,3.0,695000.0
1924,6,2660,HOUSE,HOUSE,3.0,5.220355825078324,True,False,False,False,0.0,True,4.68213122712422,5.41610040220442,False,F,good,3.0,319000.0
1925,6,4500,HOUSE,HOUSE,3.0,5.10594547390058,True,False,False,True,3.4011973816621555,True,6.721425700790643,6.823286122355687,False,W,renovated,3.0,349000.0
1926,6,6840,HOUSE,HOUSE,2.0,5.030437921392435,True,False,False,False,0.0,False,0.0,5.0689042022202315,False,W,to_renovate,3.0,100000.0
1927,6,9999,HOUSE,HOUSE,3.0,4.955827057601261,True,False,False,True,2.1972245773362196,True,2.4849066497880004,0.0,False,W,good,3.0,169000.0
1928,6,9999,HOUSE,HOUSE,4.0,5.3230099791384085,True,False,False,True,2.8903717578961645,True,5.0106352940962555,6.318968113746434,False,F,renovated,3.0,339000.0
1929,6,1030,HOUSE,HOUSE,6.0,5.497168225293202,True,False,False,True,2.995732273553991,False,0.0,4.248495242049359,False,B,renovated,3.0,400000.0
1930,6,9999,HOUSE,HOUSE,2.0,4.882801922586371,True,False,False,False,0.0,False,0.0,4.6443908991413725,False,F,good,3.0,165000.0
1931,6,9600,HOUSE,HOUSE,2.0,4.624972813284271,True,False,False,True,2.302585092994046,True,3.6888794541139363,4.5217885770490405,False,F,to_renovate,3.0,99000.0
1932,6,4540,HOUSE,HOUSE,2.0,5.135798437050262,True,False,False,True,0.0,False,0.0,4.48863636973214,False,W,to_renovate,3.0,115000.0
1933,6,4420,HOUSE,HOUSE,2.0,4.382026634673881,True,False,False,True,0.0,False,0.0,4.382026634673881,False,W,to_renovate,3.0,125000.0
1934,6,4500,HOUSE,HOUSE,2.0,4.700480365792417,True,False,False,True,0.0,False,0.0,5.908082938168931,False,W,to_renovate,3.0,150000.0
1935,6,4031,HOUSE,HOUSE,2.0,4.406719247264253,True,False,False,True,4.248495242049359,True,4.276666119016055,4.969813299576001,False,W,to_renovate,3.0,169000.0
